    35     19    4
Wavelength (Angstroms)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
HO2          + hv           = OH           + O            +              +             4181.6
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
NO          2
Total Absorption Cross Section (cm^2)
  1.815E-17  1.752E-17  1.626E-17  1.870E-17  2.492E-17  2.236E-17  2.582E-17  2.586E-17  1.355E-17  1.536E-17
  1.595E-17  1.722E-17  1.678E-17  1.616E-17  2.904E-17  6.621E-17  3.530E-17  3.061E-17  3.204E-17  2.224E-17
  2.545E-17  1.665E-17  1.942E-17  2.015E-17  2.268E-17  1.985E-17  2.316E-17  1.898E-17  1.957E-17  1.375E-17
  1.370E-17  1.175E-17  9.979E-18  7.761E-18  8.593E-18
Total Ionization Cross Section (cm^2)
  1.257E-17  9.705E-18  9.422E-18  9.849E-18  1.276E-17  1.251E-17  1.462E-17  1.293E-17  6.852E-18  7.774E-18
  7.506E-18  8.232E-18  7.432E-18  7.753E-18  1.303E-17  2.857E-17  1.329E-17  9.988E-18  1.439E-17  8.478E-18
  1.410E-17  8.834E-18  1.043E-17  1.059E-17  1.372E-17  1.087E-17  1.246E-17  1.067E-17  1.120E-17  8.838E-18
  8.776E-18  7.665E-18  6.622E-18  5.306E-18  6.640E-18
NO           + hv           = NOP          + E            +              +             1338.3
  6.926E-01  5.538E-01  5.795E-01  5.268E-01  5.121E-01  5.595E-01  5.662E-01  5.002E-01  5.057E-01  5.061E-01
  4.705E-01  4.781E-01  4.429E-01  4.799E-01  4.488E-01  4.316E-01  3.766E-01  3.263E-01  4.492E-01  3.812E-01
  5.541E-01  5.307E-01  5.371E-01  5.257E-01  6.049E-01  5.475E-01  5.381E-01  5.622E-01  5.725E-01  6.426E-01
  6.404E-01  6.526E-01  6.636E-01  6.836E-01  7.727E-01
NO           + hv           = N            + O            +              +             1894.0
